Date, Open, High, Low,Close
26/01/2009 23:00:00,94.02,96.56,93.22,93.69
27/01/2009 23:00:00,93.62,95.46,89.38,89.92
28/01/2009 23:00:00,89.96,91.57,88.57,90.09
29/01/2009 23:00:00,90.19,90.29,88.15,89.57
30/01/2009 23:00:00,89.62,91.41,88.99,89.66
02/02/2009 23:00:00,89.72,90.28,87.8,88.28
03/02/2009 23:00:00,88.25,89.14,87.62,88.84
04/02/2009 23:00:00,88.9,89.89,87.71,88.19
05/02/2009 23:00:00,88.27,89.22,87.43,88.95
06/02/2009 23:00:00,88.97,90.65,86.57,88
09/02/2009 23:00:00,87.85,90.4,87.39,87.73
10/02/2009 23:00:00,87.73,89.77,85.34,86.13
11/02/2009 23:00:00,86.12,86.44,83.62,83.94
12/02/2009 23:00:00,83.89,84.22,81.52,82.25
13/02/2009 23:00:00,82.33,86.22,81.78,86.07
16/02/2009 23:00:00,85.78,86.46,84.52,85.19
17/02/2009 23:00:00,85.12,85.41,82.42,82.8
18/02/2009 23:00:00,82.99,84.19,82.1,82.54
19/02/2009 23:00:00,82.65,85.38,82.23,84.81
20/02/2009 23:00:00,84.71,85.24,82.65,84.87
23/02/2009 23:00:00,84.84,86.6,82.98,83.17
24/02/2009 23:00:00,83.21,85.24,82.76,85.04
25/02/2009 23:00:00,85.03,87.94,84.51,87.46
26/02/2009 23:00:00,87.5,90.41,87.38,89.64
27/02/2009 23:00:00,89.7,90.02,87.66,89.31
02/03/2009 23:00:00,89.45,89.52,84.95,85.2
03/03/2009 23:00:00,85.21,87.18,84.55,86.71
04/03/2009 23:00:00,86.49,90.87,86.15,90.37
05/03/2009 23:00:00,90.53,90.81,87.97,88.74
06/03/2009 23:00:00,88.72,91.41,88.56,90.75
09/03/2009 22:00:00,90.87,93.94,90.08,92.21
10/03/2009 22:00:00,92.36,93.43,90.44,90.65
11/03/2009 22:00:00,90.68,91.15,87.19,87.95
12/03/2009 22:00:00,87.84,92.33,87.62,91.92
13/03/2009 22:00:00,92.32,93.25,90.71,90.9
16/03/2009 22:00:00,90.31,92.74,88.73,92.08
17/03/2009 22:00:00,92.17,94.93,91.64,93.91
18/03/2009 22:00:00,93.78,94.98,92.03,94.64
19/03/2009 22:00:00,94.85,97.33,93.9,95.97
20/03/2009 22:00:00,96.03,97.07,95.35,96.43
23/03/2009 22:00:00,96.48,98.4,95.97,98.17
24/03/2009 22:00:00,98.18,98.41,96.8,97.89
